ticker,average_confidence_score,appearance_count
688006.SS,6.714285714285714,14
300432.SZ,6.666666666666667,15
002254.SZ,6.666666666666667,3
2018.HK,6.666666666666667,3
SWX,6.666666666666667,15
002025.SZ,6.666666666666667,6
002240.SZ,6.666666666666667,6
001226.SZ,6.666666666666667,3
000921.SZ,6.666666666666667,3
600961.SS,6.655172413793103,29
NI,6.65,20
002810.SZ,6.65,20
688379.SS,6.631578947368421,38
002576.SZ,6.625,8
002885.SZ,6.615384615384615,26
300763.SZ,6.609756097560975,41
002216.SZ,6.605263157894737,38
688383.SS,6.604651162790698,43
RMR,6.604651162790698,43
002203.SZ,6.590909090909091,44
002134.SZ,6.588235294117647,17
CLOV,6.580645161290323,31
PLUS,6.571428571428571,7
002685.SZ,6.571428571428571,14
002962.SZ,6.558139534883721,43
CSWC,6.545454545454546,11
EVRG,6.538461538461538,13
001378.SZ,6.536585365853658,41
688052.SS,6.5227272727272725,44
TAL.TO,6.5,6
000833.SZ,6.5,2
000062.SZ,6.5,2
NN,6.5,16
300283.SZ,6.5,40
301149.SZ,6.5,6
KEEL,6.5,2
603938.SS,6.476190476190476,21
001223.SZ,6.466666666666667,30
688456.SS,6.44,25
000026.SZ,6.424242424242424,33
605358.SS,6.4,10
601222.SS,6.4,15
301196.SZ,6.391304347826087,23
002948.SZ,6.386363636363637,44
300323.SZ,6.37037037037037,27
000595.SZ,6.35,40
603738.SS,6.346153846153846,26
003018.SZ,6.341463414634147,41
603507.SS,6.333333333333333,6
0J38.L,6.333333333333333,3
CCD,6.333333333333333,3
APA,6.333333333333333,3
000593.SZ,6.333333333333333,15
ADX,6.317073170731708,41
300504.SZ,6.3023255813953485,43
603823.SS,6.285714285714286,28
600573.SS,6.266666666666667,15
603520.SS,6.25,12
300249.SZ,6.25,4
301130.SZ,6.25,4
301188.SZ,6.209302325581396,43
PTAL.L,6.2,10
300700.SZ,6.186046511627907,43
300840.SZ,6.166666666666667,6
NFJ,6.16,25
HUM,6.148148148148148,27
300769.SZ,6.133333333333334,15
1626.HK,6.125,40
UNIT,6.125,16
600936.SS,6.117647058823529,34
600985.SS,6.1,10
XIFR,6.088888888888889,45
002077.SZ,6.05,40
2436.HK,6.023255813953488,43
600605.SS,6.0,4
000551.SZ,6.0,5
AM,6.0,4
601187.SS,6.0,1
300545.SZ,6.0,34
RES,6.0,1
300490.SZ,6.0,1
1963.HK,6.0,3
600012.SS,6.0,42
600623.SS,6.0,1
CII,6.0,6
EIG,6.0,4
AHR,6.0,7
002213.SZ,6.0,23
EFC,6.0,6
301591.SZ,6.0,3
3866.HK,5.944444444444445,18
300067.SZ,5.916666666666667,12
NWE,5.911764705882353,34
688016.SS,5.909090909090909,11
AIO,5.909090909090909,11
600744.SS,5.9,20
BKH,5.869565217391305,23
603906.SS,5.866666666666666,15
688619.SS,5.782608695652174,23
000966.SZ,5.76,25
UHAL,5.75,4
002747.SZ,5.666666666666667,3
600259.SS,5.666666666666667,3
600885.SS,5.666666666666667,3
MCHP,5.666666666666667,6
300162.SZ,5.653846153846154,26
HQH,5.5625,16
603798.SS,5.533333333333333,15
0420.HK,5.5,2
002289.SZ,5.5,28
002650.SZ,5.464285714285714,28
001215.SZ,5.333333333333333,3
PBF,5.333333333333333,3
300593.SZ,5.333333333333333,3
002392.SZ,5.25,12
002515.SZ,5.125,16
603229.SS,5.083333333333333,12
603776.SS,5.055555555555555,18
1285.HK,5.0,1
688229.SS,5.0,2
002587.SZ,4.75,4
000570.SZ,4.75,4
688528.SS,4.35,20
GDOT,4.117647058823529,17
1490.HK,4.0,1
301020.SZ,4.0,2
1163.HK,4.0,1
000402.SZ,3.4615384615384617,13
